id,id,Name,Radius_x,Mass_x,Distance_x,Star Name,Distance_y,Mass_y,Radius_y,Luminosity
63,81,DENIS J081730.0-615520,0.09659721999999998,0.042001872,16.1,HE 1523-0901,"010,000",0.80,27,730
64,84,2MASS J08251968+2115521 [de],0.10070773999999999,0.049638576000000004,35.0,R136a1,"0163,000",290,32,"8,710,000"
65,85,SDSSp J083008.12+482847.4 [de],0.10173536999999999,0.045820224,43.0,Melnick 42,"0163,000",189,21.1,"3,600,000"
66,86,LHS 2021,0.11817744999999999,0.084003744,55.0,WR 102,"018,134",19,0.39,"282,000"
67,87,SDSS J083048.80+012831.1 [de],0.09865247999999999,0.043911048,77.0,VFTS 352,"0164,000",57.48,14.47,"330,000"
68,88,2MASSI J0835425-081923 [de],0.102763,0.059184456,23.53,YBP 1194,"02,772",1.01,0.99,0.98
69,89,2MASSI J0847287-153237 [de],0.102763,0.061093632,43.0,Gliese 1214,047.5,0.16,0.21,0.0033
70,90,2MASS J08533619-0329321,0.10995641,0.073503276,27.6,Luhman 16,06.50,0.03 + 0.03,?,?
71,91,2MASSI J0859254-194926 [de],0.10070773999999999,0.0477294,50.0,NML Cygni,"05,251",50,"1,640 - 2,770","229,000"
72,93,2MASSI J0937347+293142,0.09659721999999998,0.040092696000000004,20.0,WOH G64,"0163,000",<20,"1,540 - 1,730","340-589,000"
73,94,2MASS 0939−2448,0.09762484999999999,0.030546816,17.4,TRAPPIST-1,039.6,0.089,0.12,0.0005
74,95,2MASS J09490860-1545485 [de],0.09865247999999999,0.046774812,59.0,2MASS J0523-1403,040.3,0.07,0.086,0.00013
75,96,2MASS J10073369-4555147,0.09659721999999998,0.042001872,46.0,WISE 0855−0714,07.27,0.003,?,?
76,97,2MASSI J1010148-040649 [de],0.10070773999999999,0.048683988000000004,55.0,Icarus,"014,400,000,000",33,?,"850,000"
